arc,times,Primitive,Subject type,Subproperty of,Object Type,Activity,Others,Note
<http://purl.org/dj/mean_iou>,26,,,,,,,
<http://purl.org/dj/from_numpy>,26,,,,,,,
<http://purl.org/dj/set_tick_params>,26,,,,,,,
<http://purl.org/dj/ranking>,25,,,,,,,
<http://purl.org/dj/initialize_weights>,25,,,,,,,
<http://purl.org/dj/set_context>,25,,,,,,,
<http://purl.org/dj/mkdir>,25,,,,,,,
<http://purl.org/dj/load_model>,25,,,,,,,
<http://purl.org/dj/cross_val_predict>,25,,,,,,,
<http://purl.org/dj/imsave>,25,,,,,,,
<http://purl.org/dj/detect>,25,,,,,,,
<http://purl.org/dj/VideoCapture>,25,,,,,,,
<http://purl.org/dj/encode>,24,,,,,,,
<http://purl.org/dj/shift>,24,,,,,,,
<http://purl.org/dj/kneighbors>,24,,,,,,,
<http://purl.org/dj/BitOr>,24,,,,,,,
<http://purl.org/dj/plot_map>,24,,,,,,,
<http://purl.org/dj/setup_data>,24,,,,,,,
<http://purl.org/dj/cont>,24,,,,,,,
<http://purl.org/dj/CloudDataset>,24,,,,,,,
<http://purl.org/dj/connectedComponents>,24,,,,,,,
<http://purl.org/dj/dense_hidden>,24,,,,,,,
<http://purl.org/dj/Attention>,24,,,,,,,
<http://purl.org/dj/TreeExplainer>,24,,,,,,,
<http://purl.org/dj/permute_dimensions>,24,,,,,,,
<http://purl.org/dj/get_probs>,24,,,,,,,
<http://purl.org/dj/axhline>,24,,,,,,,
<http://purl.org/dj/preprocess_input>,24,,,,,,,
<http://purl.org/dj/display_javascript>,24,,,,,,,
<http://purl.org/dj/Javascript>,24,,,,,,,
<http://purl.org/dj/decision_function>,24,,,,,,,
<http://purl.org/dj/grid_predict>,24,,,,,,,
<http://purl.org/dj/extract>,24,,,,,,,
<http://purl.org/dj/argmin>,24,,,,,,,
<http://purl.org/dj/modelisation>,24,,,,,,,
<http://purl.org/dj/split_vals>,24,,,,,,,
<http://purl.org/dj/plot_2d_space>,24,,,,,,,
<http://purl.org/dj/ceil>,23,,,,,,,
<http://purl.org/dj/bar_hor_noagg>,23,,,,,,,
<http://purl.org/dj/addWeighted>,23,,,,,,,
<http://purl.org/dj/as_matrix>,23,,,,,,,
<http://purl.org/dj/evaluate_model>,23,,,,,,,
<http://purl.org/dj/from_pretrained>,23,,,,,,,
<http://purl.org/dj/var>,23,,,,,,,
<http://purl.org/dj/create_features>,23,,,,,,,
<http://purl.org/dj/defaultdict>,23,,,,,,,
<http://purl.org/dj/Draw>,23,,,,,,,
<http://purl.org/dj/fixBadReturnData>,23,,,,,,,
<http://purl.org/dj/int32>,23,,,,,,,
<http://purl.org/dj/WordCloud>,23,,,,,,,
<http://purl.org/dj/butter>,23,,,,,,,
<http://purl.org/dj/repeat>,22,,,,,,,
<http://purl.org/dj/__getitem__>,22,,,,,,,
<http://purl.org/dj/column_stack>,22,,,,,,,
<http://purl.org/dj/Pool>,22,,,,,,,
<http://purl.org/dj/imwrite>,22,,,,,,,
<http://purl.org/dj/Example>,22,,,,,,,
<http://purl.org/dj/set_ticks_position>,22,,,,,,,
<http://purl.org/dj/StackingCVRegressor>,21,,,,,,,
<http://purl.org/dj/GRU>,21,,,,,,,
<http://purl.org/dj/keys>,21,,,,,,,
<http://purl.org/dj/get_data>,21,,,,,,,
<http://purl.org/dj/outer>,21,,,,,,,
<http://purl.org/dj/dataset_preparation>,21,,,,,,,
<http://purl.org/dj/add_prefix>,21,,,,,,,
<http://purl.org/dj/any>,21,,,,,,,
<http://purl.org/dj/placeholder>,21,,,,,,,
<http://purl.org/dj/fft>,21,,,,,,,
<http://purl.org/dj/tocsr>,21,,,,,,,
<http://purl.org/dj/clear_session>,20,,,,,,,
<http://purl.org/dj/player_feature>,20,,,,,,,
<http://purl.org/dj/softmax>,20,,,,,,,
<http://purl.org/dj/word_tokenize>,20,,,,,,,
<http://purl.org/dj/square>,20,,,,,,,
<http://purl.org/dj/minibatch_gradient_descent>,20,,,,,,,
<http://purl.org/dj/boxenplot>,20,,,,,,,
<http://purl.org/dj/force_plot>,20,,,,,,,
<http://purl.org/dj/unravel_index>,20,,,,,,,
<http://purl.org/dj/pretrained>,20,,,,,,,
<http://purl.org/dj/to_pickle>,20,,,,,,,
<http://purl.org/dj/uid_aggregation>,20,,,,,,,
<http://purl.org/dj/h>,20,,,,,,,
<http://purl.org/dj/load_event>,20,,,,,,,
<http://purl.org/dj/get_mask_by_image_id>,20,,,,,,,
<http://purl.org/dj/epoch_log>,20,,,,,,,
<http://purl.org/dj/nanmean>,20,,,,,,,
<http://purl.org/dj/log10>,20,,,,,,,
<http://purl.org/dj/dense>,20,,,,,,,
<http://purl.org/dj/get_windowing>,20,,,,,,,
<http://purl.org/dj/mfcc>,20,,,,,,,
<http://purl.org/dj/from_records>,20,,,,,,,
<http://purl.org/dj/extract_features>,20,,,,,,,
<http://purl.org/dj/matshow>,20,,,,,,,
<http://purl.org/dj/add_time_features>,20,,,,,,,
<http://purl.org/dj/LogisticRegression>,20,,,,,,,
<http://purl.org/dj/get_preds_and_labels>,20,,,,,,,
<http://purl.org/dj/switch>,20,,,,,,,
<http://purl.org/dj/arrow>,20,,,,,,,
<http://purl.org/dj/agg_numeric>,20,,,,,,,
<http://purl.org/dj/create_model_lgbm>,20,,,,,,,
<http://purl.org/dj/load_image_gt>,20,,,,,,,
<http://purl.org/dj/create_train>,20,,,,,,,
<http://purl.org/dj/SGD>,19,,,,,,,
<http://purl.org/dj/function>,19,,,,,,,
<http://purl.org/dj/kmeans>,19,,,,,,,
<http://purl.org/dj/cubehelix_palette>,19,,,,,,,
<http://purl.org/dj/load_image>,19,,,,,,,
<http://purl.org/dj/rc>,19,,,,,,,
<http://purl.org/dj/get_image_data>,19,,,,,,,
<http://purl.org/dj/rolling>,19,,,,,,,
<http://purl.org/dj/get_reward>,19,,,,,,,
<http://purl.org/dj/device>,19,,,,,,,
<http://purl.org/dj/resblock>,19,,,,,,,
<http://purl.org/dj/radians>,19,,,,,,,
<http://purl.org/dj/fit_predict>,19,,,,,,,
<http://purl.org/dj/get_variable>,19,,,,,,,
<http://purl.org/dj/eng_features_preprocess>,19,,,,,,,
<http://purl.org/dj/run_xgb>,19,,,,,,,
<http://purl.org/dj/draw_image>,19,,,,,,,
<http://purl.org/dj/get_ds>,19,,,,,,,
<http://purl.org/dj/make_classification>,18,,,,,,,
<http://purl.org/dj/matmul>,18,,,,,,,
<http://purl.org/dj/reduce_mean>,18,,,,,,,
<http://purl.org/dj/resample>,18,,,,,,,
<http://purl.org/dj/set_ylabels>,18,,,,,,,
<http://purl.org/dj/getpixel>,18,,,,,,,
<http://purl.org/dj/drawContours>,18,,,,,,,
<http://purl.org/dj/svd>,18,,,,,,,
<http://purl.org/dj/generate_barplot>,18,,,,,,,
<http://purl.org/dj/yolo_convolution_block>,18,,,,,,,
<http://purl.org/dj/ReLU>,18,,,,,,,
<http://purl.org/dj/seed_everything>,18,,,,,,,
<http://purl.org/dj/plot_feature_importance>,18,,,,,,,
<http://purl.org/dj/bitwise_and>,18,,,,,,,
<http://purl.org/dj/nonzero>,18,,,,,,,
<http://purl.org/dj/dfs>,18,,,,,,,
<http://purl.org/dj/loads>,18,,,,,,,
<http://purl.org/dj/del_cols>,18,,,,,,,
<http://purl.org/dj/HTML>,18,,,,,,,
<http://purl.org/dj/roll>,18,,,,,,,
<http://purl.org/dj/random_split>,18,,,,,,,
<http://purl.org/dj/MaxPool2d>,18,,,,,,,
<http://purl.org/dj/get_mask_and_regr>,18,,,,,,,
<http://purl.org/dj/aggregation_block>,18,,,,,,,
<http://purl.org/dj/stem>,18,,,,,,,
<http://purl.org/dj/nan_to_num>,18,,,,,,,
<http://purl.org/dj/flow_from_directory>,18,,,,,,,
<http://purl.org/dj/squarify>,18,,,,,,,
<http://purl.org/dj/build_matrix>,18,,,,,,,
<http://purl.org/dj/prepare_sparse_features>,18,,,,,,,
<http://purl.org/dj/transform_>,18,,,,,,,
<http://purl.org/dj/custom_fft>,18,,,,,,,
<http://purl.org/dj/fit_resample>,18,,,,,,,
<http://purl.org/dj/cpu>,17,,,,,,,
<http://purl.org/dj/gca>,17,,,,,,,
<http://purl.org/dj/contour>,17,,,,,,,
<http://purl.org/dj/HoltWinters>,17,,,,,,,
<http://purl.org/dj/dendrogram>,17,,,,,,,
<http://purl.org/dj/bar_hor>,17,,,,,,,
<http://purl.org/dj/dependence_plot>,17,,,,,,,
<http://purl.org/dj/isnull>,17,,,,,,,
<http://purl.org/dj/toarray>,17,,,,,,,
<http://purl.org/dj/create_model>,17,,,,,,,
<http://purl.org/dj/save_weights>,17,,,,,,,
<http://purl.org/dj/sign>,17,,,,,,,
<http://purl.org/dj/cnn_learner>,17,,,,,,,
<http://purl.org/dj/pcolormesh>,17,,,,,,,
<http://purl.org/dj/identity>,17,,,,,,,
<http://purl.org/dj/draw_boxes>,17,,,,,,,
<http://purl.org/dj/display_instances>,17,,,,,,,
<http://purl.org/dj/arma_generate_sample>,17,,,,,,,
<http://purl.org/dj/missing_data>,16,,,,,,,
<http://purl.org/dj/LearningRateScheduler>,16,,,,,,,
<http://purl.org/dj/unfreeze>,16,,,,,,,
<http://purl.org/dj/set_printoptions>,16,,,,,,,
<http://purl.org/dj/set_color_codes>,16,,,,,,,
<http://purl.org/dj/down_block>,16,,,,,,,
<http://purl.org/dj/load_from_df>,16,,,,,,,
<http://purl.org/dj/features>,16,,,,,,,
<http://purl.org/dj/seasonal_decompose>,16,,,,,,,
<http://purl.org/dj/scatter_plot>,16,,,,,,,
<http://purl.org/dj/hist2d>,16,,,,,,,
<http://purl.org/dj/tfms_from_model>,16,,,,,,,
<http://purl.org/dj/train_test>,16,,,,,,,
<http://purl.org/dj/float32>,16,,,,,,,
<http://purl.org/dj/timeblock_frequency_encoding>,16,,,,,,,
<http://purl.org/dj/get_training_data>,16,,,,,,,
<http://purl.org/dj/gru>,16,,,,,,,
<http://purl.org/dj/lstm>,16,,,,,,,
<http://purl.org/dj/create_X>,16,,,,,,,
<http://purl.org/dj/vlines>,16,,,,,,,
<http://purl.org/dj/score_samples>,16,,,,,,,
<http://purl.org/dj/decode>,16,,,,,,,
<http://purl.org/dj/My_Generator>,16,,,,,,,
<http://purl.org/dj/boundingRect>,16,,,,,,,
<http://purl.org/dj/Candlestick>,16,,,,,,,
<http://purl.org/dj/rand>,16,,,,,,,
<http://purl.org/dj/ConvTranspose2d>,16,,,,,,,
<http://purl.org/dj/visualize>,16,,,,,,,
<http://purl.org/dj/crop>,16,,,,,,,
<http://purl.org/dj/get_threshold_for_recall>,16,,,,,,,
<http://purl.org/dj/max_pool>,16,,,,,,,
<http://purl.org/dj/eig>,16,,,,,,,
<http://purl.org/dj/forward_backward_propagation>,16,,,,,,,
<http://purl.org/dj/FuncAnimation>,16,,,,,,,
<http://purl.org/dj/bounding_box>,16,,,,,,,
<http://purl.org/dj/pow>,16,,,,,,,
<http://purl.org/dj/get_dx_dy>,16,,,,,,,
<http://purl.org/dj/remove_missing_columns>,16,,,,,,,
<http://purl.org/dj/multivariate_normal>,16,,,,,,,
<http://purl.org/dj/extract_embedding>,16,,,,,,,
<http://purl.org/dj/get_list>,16,,,,,,,
<http://purl.org/dj/plot_decision_regions>,16,,,,,,,
<http://purl.org/dj/precision_score>,15,,,,,,,
<http://purl.org/dj/recall_score>,15,,,,,,,
<http://purl.org/dj/lr_find>,15,,,,,,,
<http://purl.org/dj/mod>,15,,,,,,,
<http://purl.org/dj/Dense>,15,,,,,,,
<http://purl.org/dj/quaternion_to_euler>,15,,,,,,,
<http://purl.org/dj/ColumnDataSource>,15,,,,,,,
<http://purl.org/dj/plot_acf>,15,,,,,,,
<http://purl.org/dj/plot_pacf>,15,,,,,,,
<http://purl.org/dj/check>,15,,,,,,,
<http://purl.org/dj/help>,15,,,,,,,
<http://purl.org/dj/generate_word_cloud>,15,,,,,,,
<http://purl.org/dj/darknet53_residual_block>,15,,,,,,,
<http://purl.org/dj/pandas>,15,,,,,,,
<http://purl.org/dj/add_child>,15,,,,,,,
<http://purl.org/dj/get_config>,15,,,,,,,
<http://purl.org/dj/dstack>,15,,,,,,,
<http://purl.org/dj/activation>,15,,,,,,,
<http://purl.org/dj/local_conv1d>,15,,,,,,,
<http://purl.org/dj/_convert_to_bert_inputs>,15,,,,,,,
<http://purl.org/dj/StepLR>,15,,,,,,,
<http://purl.org/dj/rle2mask>,15,,,,,,,
<http://purl.org/dj/sampleAssetData>,15,,,,,,,
<http://purl.org/dj/fromarray>,15,,,,,,,
<http://purl.org/dj/initialize>,15,,,,,,,
<http://purl.org/dj/rle_to_mask>,15,,,,,,,
<http://purl.org/dj/expand>,15,,,,,,,
<http://purl.org/dj/random_uniform>,15,,,,,,,
<http://purl.org/dj/feature_importances>,15,,,,,,,
<http://purl.org/dj/interactive>,15,,,,,,,
<http://purl.org/dj/iou_metric>,15,,,,,,,
<http://purl.org/dj/predict_result>,15,,,,,,,
<http://purl.org/dj/pdp_interact>,15,,,,,,,
<http://purl.org/dj/tqdm>,15,,,,,,,
<http://purl.org/dj/Sum>,15,,,,,,,
<http://purl.org/dj/runModel>,15,,,,,,,
<http://purl.org/dj/diff_workroles>,15,,,,,,,
<http://purl.org/dj/to_pandas>,14,,,,,,,
<http://purl.org/dj/make_env>,14,,,,,,,
<http://purl.org/dj/lmplot>,14,,,,,,,
<http://purl.org/dj/choropleth>,14,,,,,,,
<http://purl.org/dj/digitize>,14,,,,,,,
<http://purl.org/dj/pivot>,14,,,,,,,
<http://purl.org/dj/copyMakeBorder>,14,,,,,,,
<http://purl.org/dj/ks_2samp>,14,,,,,,,
<http://purl.org/dj/_desc>,14,,,,,,,
<http://purl.org/dj/runXGB>,14,,,,,,,
<http://purl.org/dj/get_keras_data>,14,,,,,,,
<http://purl.org/dj/embedding>,14,,,,,,,
<http://purl.org/dj/mask_overlay>,14,,,,,,,
<http://purl.org/dj/require>,14,,,,,,,
<http://purl.org/dj/__data_generation>,14,,,,,,,
<http://purl.org/dj/set_random_seed>,14,,,,,,,
<http://purl.org/dj/augment_image>,14,,,,,,,
<http://purl.org/dj/on_epoch_end>,14,,,,,,,
<http://purl.org/dj/entity_from_dataframe>,14,,,,,,,
<http://purl.org/dj/ones_like>,14,,,,,,,
<http://purl.org/dj/rmtree>,14,,,,,,,
<http://purl.org/dj/convert_tokens_to_ids>,14,,,,,,,
<http://purl.org/dj/predict_classes>,14,,,,,,,
<http://purl.org/dj/translate>,14,,,,,,,
<http://purl.org/dj/pearsonr>,14,,,,,,,
<http://purl.org/dj/coord_transform>,14,,,,,,,
<http://purl.org/dj/conv>,14,,,,,,,
<http://purl.org/dj/LdaModel>,14,,,,,,,
<http://purl.org/dj/set_major_locator>,14,,,,,,,
<http://purl.org/dj/rotate>,14,,,,,,,
<http://purl.org/dj/union>,14,,,,,,,
<http://purl.org/dj/build_model>,14,,,,,,,
<http://purl.org/dj/line_plot>,14,,,,,,,
<http://purl.org/dj/average_precision_score>,14,,,,,,,
<http://purl.org/dj/add_artist>,14,,,,,,,
<http://purl.org/dj/axvspan>,14,,,,,,,
<http://purl.org/dj/loss_function>,14,,,,,,,
<http://purl.org/dj/_add_decomposition>,14,,,,,,,
<http://purl.org/dj/now>,14,,,,,,,
<http://purl.org/dj/Scatterpolar>,14,,,,,,,
<http://purl.org/dj/search>,14,,,,,,,
<http://purl.org/dj/BSONIterator>,14,,,,,,,
<http://purl.org/dj/test_all_encodings>,14,,,,,,,
<http://purl.org/dj/Source>,14,,,,,,,
<http://purl.org/dj/get_cost_consolidated>,14,,,,,,,
<http://purl.org/dj/display_imgs>,14,,,,,,,
<http://purl.org/dj/scatter_matrix>,13,,,,,,,
<http://purl.org/dj/set_facecolor>,13,,,,,,,
<http://purl.org/dj/idxmax>,13,,,,,,,
<http://purl.org/dj/bubbleplot>,13,,,,,,,
<http://purl.org/dj/range_count>,13,,,,,,,
<http://purl.org/dj/draw>,13,,,,,,,
<http://purl.org/dj/set_description>,13,,,,,,,
<http://purl.org/dj/generate_from_frequencies>,13,,,,,,,
<http://purl.org/dj/optimize>,13,,,,,,,
<http://purl.org/dj/_get_leak>,13,,,,,,,
<http://purl.org/dj/display_confusion_matrix>,13,,,,,,,
<http://purl.org/dj/KMeans>,13,,,,,,,
<http://purl.org/dj/invert_yaxis>,13,,,,,,,
<http://purl.org/dj/MaskRCNN>,13,,,,,,,
<http://purl.org/dj/from_learner>,12,,,,,,,
<http://purl.org/dj/Logit>,12,,,,,,,
<http://purl.org/dj/diverging_palette>,12,,,,,,,
<http://purl.org/dj/divide>,12,,,,,,,
<http://purl.org/dj/move_selector>,12,,,,,,,
<http://purl.org/dj/up_block>,12,,,,,,,
<http://purl.org/dj/draw_networkx_edges>,12,,,,,,,
<http://purl.org/dj/draw_networkx_labels>,12,,,,,,,
<http://purl.org/dj/draw_networkx_nodes>,12,,,,,,,
<http://purl.org/dj/return_percentage>,12,,,,,,,
<http://purl.org/dj/get_metrics>,12,,,,,,,
<http://purl.org/dj/scale>,12,,,,,,,
<http://purl.org/dj/get_train_and_test>,12,,,,,,,
<http://purl.org/dj/get_n_splits>,12,,,,,,,
<http://purl.org/dj/sca>,12,,,,,,,
<http://purl.org/dj/attack>,12,,,,,,,
<http://purl.org/dj/add_>,12,,,,,,,
<http://purl.org/dj/transforms>,12,,,,,,,
<http://purl.org/dj/plotModelResults>,12,,,,,,,
<http://purl.org/dj/convert_to_use_vectors>,12,,,,,,,
<http://purl.org/dj/train_step>,12,,,,,,,
<http://purl.org/dj/model_fn>,12,,,,,,,
<http://purl.org/dj/maxpooling1>,12,,,,,,,
<http://purl.org/dj/prod>,12,,,,,,,
<http://purl.org/dj/threshold_search>,12,,,,,,,
<http://purl.org/dj/filter>,12,,,,,,,
<http://purl.org/dj/minmax_scale>,12,,,,,,,
<http://purl.org/dj/PCA>,12,,,,,,,
<http://purl.org/dj/preprocess_image>,12,,,,,,,
<http://purl.org/dj/mix_up>,12,,,,,,,
<http://purl.org/dj/get_gradients>,12,,,,,,,
<http://purl.org/dj/GroupKFold>,12,,,,,,,
<http://purl.org/dj/Relationship>,12,,,,,,,
<http://purl.org/dj/SVC>,12,,,,,,,
<http://purl.org/dj/batch_dot>,12,,,,,,,
<http://purl.org/dj/build>,12,,,,,,,
<http://purl.org/dj/_trim_input>,12,,,,,,,
<http://purl.org/dj/load_word2vec_format>,12,,,,,,,
<http://purl.org/dj/add_module>,12,,,,,,,
<http://purl.org/dj/recommend_questions_for_professional>,12,,,,,,,
<http://purl.org/dj/plot_with_dots>,12,,,,,,,
<http://purl.org/dj/ProteinDataGenerator>,12,,,,,,,
<http://purl.org/dj/_one_sample_positive_class_precisions>,12,,,,,,,
<http://purl.org/dj/swarmplot>,12,,,,,,,
<http://purl.org/dj/validation_curve>,12,,,,,,,
<http://purl.org/dj/logistic_regression>,12,,,,,,,
<http://purl.org/dj/display_image_from_video>,12,,,,,,,
<http://purl.org/dj/display_image_from_video_list>,12,,,,,,,
<http://purl.org/dj/set_ticks>,12,,,,,,,
<http://purl.org/dj/set_alpha>,12,,,,,,,
<http://purl.org/dj/visualize_with_raw>,12,,,,,,,
<http://purl.org/dj/load_embed>,12,,,,,,,
<http://purl.org/dj/Contour>,12,,,,,,,
<http://purl.org/dj/normalize_sizes>,12,,,,,,,
<http://purl.org/dj/flatten_binary_scores>,12,,,,,,,
<http://purl.org/dj/lovasz_hinge_flat>,12,,,,,,,
<http://purl.org/dj/get_wins>,12,,,,,,,
<http://purl.org/dj/df_parallelize_run>,12,,,,,,,
<http://purl.org/dj/convolution_block>,12,,,,,,,
<http://purl.org/dj/remove_edge>,12,,,,,,,
<http://purl.org/dj/fit_lgbm_with_pruning>,12,,,,,,,
<http://purl.org/dj/plot_partial_dependence>,12,,,,,,,
<http://purl.org/dj/plot_components>,12,,,,,,,
<http://purl.org/dj/Arc>,12,,,,,,,
<http://purl.org/dj/_verify_hit_top_n>,12,,,,,,,
<http://purl.org/dj/SerialIterator>,12,,,,,,,
<http://purl.org/dj/to_gpu>,12,,,,,,,
<http://purl.org/dj/get_nbs>,12,,,,,,,
<http://purl.org/dj/ImageData>,12,,,,,,,
<http://purl.org/dj/make_cv_predictions>,12,,,,,,,
<http://purl.org/dj/tsplot>,12,,,,,,,
<http://purl.org/dj/write_submission_file>,11,,,,,,,
<http://purl.org/dj/show_batch>,11,,,,,,,
<http://purl.org/dj/plot_figures>,11,,,,,,,
<http://purl.org/dj/json_normalize>,11,,,,,,,
<http://purl.org/dj/plot_feature_distribution>,11,,,,,,,
<http://purl.org/dj/clamp>,11,,,,,,,
<http://purl.org/dj/product>,11,,,,,,,
<http://purl.org/dj/diff>,11,,,,,,,
<http://purl.org/dj/add_test>,11,,,,,,,
<http://purl.org/dj/save_imgs>,11,,,,,,,
<http://purl.org/dj/get_best_score>,11,,,,,,,
<http://purl.org/dj/SegmentationMapOnImage>,11,,,,,,,
<http://purl.org/dj/display_scores>,11,,,,,,,
<http://purl.org/dj/permute>,11,,,,,,,
<http://purl.org/dj/rank>,11,,,,,,,
<http://purl.org/dj/create_table>,11,,,,,,,
<http://purl.org/dj/axes>,11,,,,,,,
<http://purl.org/dj/ImageDataGenerator>,11,,,,,,,
<http://purl.org/dj/read_excel>,11,,,,,,,
<http://purl.org/dj/bounding_rectangle>,11,,,,,,,
<http://purl.org/dj/eye>,11,,,,,,,
<http://purl.org/dj/inv>,11,,,,,,,
<http://purl.org/dj/estimateMktresReturn>,11,,,,,,,
<http://purl.org/dj/clf>,11,,,,,,,
<http://purl.org/dj/GradientBoostingClassifier>,11,,,,,,,
<http://purl.org/dj/Circle>,11,,,,,,,
<http://purl.org/dj/isin>,11,,,,,,,
<http://purl.org/dj/read_img>,11,,,,,,,
<http://purl.org/dj/train_model_classification>,11,,,,,,,
<http://purl.org/dj/get_score>,11,,,,,,,
<http://purl.org/dj/item>,11,,,,,,,
<http://purl.org/dj/rmsle_cv>,11,,,,,,,
<http://purl.org/dj/classify>,11,,,,,,,
<http://purl.org/dj/Box3D>,11,,,,,,,
<http://purl.org/dj/uniform>,10,,,,,,,
<http://purl.org/dj/Image>,10,,,,,,,
<http://purl.org/dj/setLevel>,10,,,,,,,
<http://purl.org/dj/sleep>,10,,,,,,,
<http://purl.org/dj/from_pandas_edgelist>,10,,,,,,,
<http://purl.org/dj/save_image>,10,,,,,,,
<http://purl.org/dj/bf_search>,10,,,,,,,
<http://purl.org/dj/Line2D>,10,,,,,,,
<http://purl.org/dj/stocashtic_gradient_descent>,10,,,,,,,
<http://purl.org/dj/draw_cv2>,10,,,,,,,
<http://purl.org/dj/ArmaProcess>,10,,,,,,,
<http://purl.org/dj/bind>,10,,,,,,,
<http://purl.org/dj/get_iou_vector>,10,,,,,,,
<http://purl.org/dj/diag>,10,,,,,,,
<http://purl.org/dj/empty_like>,10,,,,,,,
<http://purl.org/dj/similarity>,10,,,,,,,
<http://purl.org/dj/XGBRegressor>,10,,,,,,,
<http://purl.org/dj/from_df>,10,,,,,,,
<http://purl.org/dj/decoder_lstm>,10,,,,,,,
<http://purl.org/dj/create_one_hot_targets>,10,,,,,,,
<http://purl.org/dj/make_mask>,10,,,,,,,
<http://purl.org/dj/get_comments>,10,,,,,,,
<http://purl.org/dj/gen_layout>,10,,,,,,,
<http://purl.org/dj/get_label>,10,,,,,,,
<http://purl.org/dj/get_x>,10,,,,,,,
<http://purl.org/dj/loss_fn>,10,,,,,,,
<http://purl.org/dj/rle_decode>,10,,,,,,,
<http://purl.org/dj/fmin>,10,,,,,,,
<http://purl.org/dj/FreqDist>,10,,,,,,,
<http://purl.org/dj/StandardScaler>,10,,,,,,,
<http://purl.org/dj/crop_image_from_gray>,10,,,,,,,
<http://purl.org/dj/threshold>,10,,,,,,,
<http://purl.org/dj/date_range>,10,,,,,,,
<http://purl.org/dj/set_yscale>,10,,,,,,,
<http://purl.org/dj/set_ticklabels>,10,,,,,,,
<http://purl.org/dj/net>,10,,,,,,,
<http://purl.org/dj/cosine_similarity>,10,,,,,,,
<http://purl.org/dj/DataGenenerator>,10,,,,,,,
<http://purl.org/dj/calculate_per_class_lwlrap>,10,,,,,,,
<http://purl.org/dj/TTA>,10,,,,,,,
<http://purl.org/dj/compute_bnsp_auc>,10,,,,,,,
<http://purl.org/dj/compute_bpsn_auc>,10,,,,,,,
<http://purl.org/dj/compute_subgroup_auc>,10,,,,,,,
<http://purl.org/dj/high_pass>,10,,,,,,,
<http://purl.org/dj/plot_path>,10,,,,,,,
<http://purl.org/dj/DecisionTreeClassifier>,10,,,,,,,
<http://purl.org/dj/graph_component_silhouette>,10,,,,,,,
<http://purl.org/dj/set_thetagrids>,10,,,,,,,
<http://purl.org/dj/plot_validation_curve>,10,,,,,,,
<http://purl.org/dj/plotthem>,10,,,,,,,
<http://purl.org/dj/viz_one_class_from_path>,10,,,,,,,
<http://purl.org/dj/Arrow>,10,,,,,,,
<http://purl.org/dj/hlines>,10,,,,,,,
<http://purl.org/dj/set_axis_labels>,10,,,,,,,
<http://purl.org/dj/from_file_multisweep>,10,,,,,,,
<http://purl.org/dj/imag>,10,,,,,,,
<http://purl.org/dj/real>,10,,,,,,,
<http://purl.org/dj/haversine_array>,10,,,,,,,
<http://purl.org/dj/transform_matrix>,10,,,,,,,
<http://purl.org/dj/databunch>,10,,,,,,,
<http://purl.org/dj/highlight_null>,10,,,,,,,
<http://purl.org/dj/__random_transform>,10,,,,,,,
<http://purl.org/dj/to_device>,10,,,,,,,
<http://purl.org/dj/add_shape>,10,,,,,,,
<http://purl.org/dj/skill_variety>,10,,,,,,,
<http://purl.org/dj/plot_pre_curve>,10,,,,,,,
<http://purl.org/dj/plot_roc>,10,,,,,,,
<http://purl.org/dj/qqplot>,10,,,,,,,
<http://purl.org/dj/norm_save>,10,,,,,,,
<http://purl.org/dj/tree_graph_to_png>,10,,,,,,,
<http://purl.org/dj/ndarray>,9,,,,,,,
<http://purl.org/dj/SelectFromModel>,9,,,,,,,
<http://purl.org/dj/first>,9,,,,,,,
<http://purl.org/dj/plot_count>,9,,,,,,,
<http://purl.org/dj/EarlyStopping>,9,,,,,,,
<http://purl.org/dj/Lasso>,9,,,,,,,
<http://purl.org/dj/Ridge>,9,,,,,,,
<http://purl.org/dj/StratifiedShuffleSplit>,9,,,,,,,
<http://purl.org/dj/show_four>,9,,,,,,,
<http://purl.org/dj/to_dataframe>,9,,,,,,,
<http://purl.org/dj/GaussianMixture>,9,,,,,,,
<http://purl.org/dj/image_classify>,9,,,,,,,
<http://purl.org/dj/Ohlc>,9,,,,,,,
<http://purl.org/dj/set_data>,9,,,,,,,
<http://purl.org/dj/fillPoly>,9,,,,,,,
<http://purl.org/dj/GradientBoostingRegressor>,9,,,,,,,
<http://purl.org/dj/MyDataset>,9,,,,,,,
<http://purl.org/dj/create_cnn>,9,,,,,,,
<http://purl.org/dj/get_log_bernoullis>,9,,,,,,,
<http://purl.org/dj/get_mae>,9,,,,,,,
<http://purl.org/dj/get_transforms>,9,,,,,,,
<http://purl.org/dj/Show_images>,9,,,,,,,
<http://purl.org/dj/as_list>,9,,,,,,,
<http://purl.org/dj/darknet53>,9,,,,,,,
<http://purl.org/dj/yolo_layer>,9,,,,,,,
<http://purl.org/dj/words>,9,,,,,,,
<http://purl.org/dj/TruncatedSVD>,9,,,,,,,
<http://purl.org/dj/amin>,9,,,,,,,
<http://purl.org/dj/view_images>,9,,,,,,,
<http://purl.org/dj/conv1d>,9,,,,,,,
<http://purl.org/dj/fc>,9,,,,,,,
<http://purl.org/dj/BreastCancerDataset>,9,,,,,,,
<http://purl.org/dj/double_conv>,9,,,,,,,
<http://purl.org/dj/up>,9,,,,,,,
