arc,times,Primitive,Subject type,Subproperty of,Object Type,Activity,Others,Note
<http://purl.org/dj/roc_curve>,309,,,,,,,
<http://purl.org/dj/Series>,305,,,,,,,
<http://purl.org/dj/DMatrix>,299,,,,,,,
<http://purl.org/dj/train_model>,290,,,,,,,
<http://purl.org/dj/Pie>,286,,,,,,,
<http://purl.org/dj/fit_generator>,283,,,,,,,
<http://purl.org/dj/Model>,275,,,,,,,
<http://purl.org/dj/seed>,269,,,,,,,
<http://purl.org/dj/arange>,269,,,,,,,
<http://purl.org/dj/normal>,266,,,,,,,
<http://purl.org/dj/calculate_pdf_difference>,264,,,,,,,
<http://purl.org/dj/filterwarnings>,263,,,,,,,
<http://purl.org/dj/fromfile>,259,,,,,,,
<http://purl.org/dj/set_xlabel>,255,,,,,,,
<http://purl.org/dj/unique>,254,,,,,,,
<http://purl.org/dj/bar>,251,,,,,,,
<http://purl.org/dj/Pow>,251,,,,,,,
<http://purl.org/dj/DataLoader>,251,,,,,,,
<http://purl.org/dj/cross_val_score>,244,,,,,,,
<http://purl.org/dj/compile>,240,,,,,,,
<http://purl.org/dj/GridSearchCV>,237,,,,,,,
<http://purl.org/dj/split>,233,,,,,,,
<http://purl.org/dj/asarray>,217,,,,,,,
<http://purl.org/dj/train_model_regression>,211,,,,,,,
<http://purl.org/dj/add_subplot>,210,,,,,,,
<http://purl.org/dj/tolist>,205,,,,,,,
<http://purl.org/dj/yticks>,196,,,,,,,
<http://purl.org/dj/dropna>,194,,,,,,,
<http://purl.org/dj/add_trace>,192,,,,,,,
<http://purl.org/dj/roc_auc_score>,190,,,,,,,
<http://purl.org/dj/open>,190,,,,,,,
<http://purl.org/dj/confusion_matrix>,187,,,,,,,
<http://purl.org/dj/extend>,185,,,,,,,
<http://purl.org/dj/predict_proba>,184,,,,,,,
<http://purl.org/dj/generate>,183,,,,,,,
<http://purl.org/dj/histogram>,183,,,,,,,
<http://purl.org/dj/display>,180,,,,,,,
<http://purl.org/dj/describe>,176,,,,,,,
<http://purl.org/dj/stack>,175,,,,,,,
<http://purl.org/dj/randint>,173,,,,,,,
<http://purl.org/dj/info>,172,,,,,,,
<http://purl.org/dj/make_subplots>,171,,,,,,,
<http://purl.org/dj/shuffle>,170,,,,,,,
<http://purl.org/dj/set_index>,165,,,,,,,
<http://purl.org/dj/expm1>,165,,,,,,,
<http://purl.org/dj/__init__>,164,,,,,,,
<http://purl.org/dj/set_xticklabels>,164,,,,,,,
<http://purl.org/dj/sorted>,160,,,,,,,
<http://purl.org/dj/Input>,158,,,,,,,
<http://purl.org/dj/argmax>,156,,,,,,,
<http://purl.org/dj/save>,154,,,,,,,
<http://purl.org/dj/accuracy_score>,152,,,,,,,
<http://purl.org/dj/xlim>,151,,,,,,,
<http://purl.org/dj/suptitle>,150,,,,,,,
<http://purl.org/dj/cut>,150,,,,,,,
<http://purl.org/dj/reduce_mem_usage>,149,,,,,,,
<http://purl.org/dj/flatten>,146,,,,,,,
<http://purl.org/dj/sample>,144,,,,,,,
<http://purl.org/dj/learning_curve>,144,,,,,,,
<http://purl.org/dj/ylim>,143,,,,,,,
<http://purl.org/dj/Sequential>,141,,,,,,,
<http://purl.org/dj/transpose>,141,,,,,,,
<http://purl.org/dj/log>,140,,,,,,,
<http://purl.org/dj/pad_sequences>,139,,,,,,,
<http://purl.org/dj/mean_absolute_error>,139,,,,,,,
<http://purl.org/dj/texts_to_sequences>,138,,,,,,,
<http://purl.org/dj/set_ylim>,137,,,,,,,
<http://purl.org/dj/FloorDiv>,134,,,,,,,
<http://purl.org/dj/cvtColor>,133,,,,,,,
<http://purl.org/dj/to>,133,,,,,,,
<http://purl.org/dj/fit_lgbm>,132,,,,,,,
<http://purl.org/dj/corr>,131,,,,,,,
<http://purl.org/dj/clip>,131,,,,,,,
<http://purl.org/dj/expand_dims>,130,,,,,,,
<http://purl.org/dj/tight_layout>,129,,,,,,,
<http://purl.org/dj/step>,127,,,,,,,
<http://purl.org/dj/evaluate>,127,,,,,,,
<http://purl.org/dj/time>,126,,,,,,,
<http://purl.org/dj/abs>,125,,,,,,,
<http://purl.org/dj/grid>,125,,,,,,,
<http://purl.org/dj/train_pred>,124,,,,,,,
<http://purl.org/dj/crosstab>,123,,,,,,,
<http://purl.org/dj/barh>,123,,,,,,,
<http://purl.org/dj/empty>,121,,,,,,,
<http://purl.org/dj/format>,120,,,,,,,
<http://purl.org/dj/set_xlim>,119,,,,,,,
<http://purl.org/dj/count>,119,,,,,,,
<http://purl.org/dj/model>,118,,,,,,,
<http://purl.org/dj/pairplot>,118,,,,,,,
<http://purl.org/dj/annotate>,118,,,,,,,
<http://purl.org/dj/cuda>,117,,,,,,,
<http://purl.org/dj/DataGenerator>,117,,,,,,,
<http://purl.org/dj/precision_recall_curve>,117,,,,,,,
<http://purl.org/dj/choice>,116,,,,,,,
<http://purl.org/dj/load>,116,,,,,,,
<http://purl.org/dj/read>,116,,,,,,,
<http://purl.org/dj/median>,114,,,,,,,
<http://purl.org/dj/run>,112,,,,,,,
<http://purl.org/dj/next>,108,,,,,,,
<http://purl.org/dj/Linear>,108,,,,,,,
<http://purl.org/dj/Conv2d>,107,,,,,,,
<http://purl.org/dj/fill_between>,107,,,,,,,
<http://purl.org/dj/pie>,104,,,,,,,
<http://purl.org/dj/KFold>,103,,,,,,,
<http://purl.org/dj/pointplot>,101,,,,,,,
<http://purl.org/dj/str>,101,,,,,,,
<http://purl.org/dj/progress_apply>,101,,,,,,,
<http://purl.org/dj/TensorDataset>,100,,,,,,,
<http://purl.org/dj/use>,99,,,,,,,
<http://purl.org/dj/score>,97,,,,,,,
<http://purl.org/dj/view>,97,,,,,,,
<http://purl.org/dj/render>,97,,,,,,,
<http://purl.org/dj/conv2d>,96,,,,,,,
<http://purl.org/dj/best_kernels>,96,,,,,,,
<http://purl.org/dj/set_option>,95,,,,,,,
<http://purl.org/dj/Adam>,95,,,,,,,
<http://purl.org/dj/factorplot>,95,,,,,,,
<http://purl.org/dj/meshgrid>,94,,,,,,,
<http://purl.org/dj/listdir>,93,,,,,,,
<http://purl.org/dj/lineplot>,93,,,,,,,
<http://purl.org/dj/train_and_predict>,93,,,,,,,
<http://purl.org/dj/percentile>,92,,,,,,,
<http://purl.org/dj/Mod>,91,,,,,,,
<http://purl.org/dj/Histogram>,91,,,,,,,
<http://purl.org/dj/regplot>,91,,,,,,,
<http://purl.org/dj/fit_on_texts>,91,,,,,,,
<http://purl.org/dj/relu>,91,,,,,,,
<http://purl.org/dj/variable>,91,,,,,,,
<http://purl.org/dj/fit_sample>,90,,,,,,,
<http://purl.org/dj/plot_learning_curve>,90,,,,,,,
<http://purl.org/dj/norm>,89,,,,,,,
<http://purl.org/dj/FacetGrid>,89,,,,,,,
<http://purl.org/dj/update_layout>,89,,,,,,,
<http://purl.org/dj/dot>,89,,,,,,,
<http://purl.org/dj/make_pipeline>,88,,,,,,,
<http://purl.org/dj/cat>,88,,,,,,,
<http://purl.org/dj/check_coverage>,88,,,,,,,
<http://purl.org/dj/linspace>,88,,,,,,,
<http://purl.org/dj/tail>,87,,,,,,,
<http://purl.org/dj/Box>,86,,,,,,,
<http://purl.org/dj/stripplot>,85,,,,,,,
<http://purl.org/dj/float>,85,,,,,,,
