
http://purl.org/datanode/ns/disjointPortionWith,disjoint portion with,,Y,6,http://purl.org/datanode/ns/differentPopulationFrom;http://purl.org/datanode/ns/disjointPartWith,http://purl.org/datanode/ns/adjacentTo;http://purl.org/datanode/ns/differentCapabilityFrom
http://purl.org/datanode/ns/disjointSectionWith,disjoint section with,Data can be cut in sections according to specific attributes.,Y,6,http://purl.org/datanode/ns/differentVocabularyFrom;http://purl.org/datanode/ns/disjointPartWith,http://purl.org/datanode/ns/adjacentTo;http://purl.org/datanode/ns/differentCapabilityFrom
http://purl.org/datanode/ns/disjointCapabilityWith,disjoint capability,,Y,5,http://purl.org/datanode/ns/differentPopulationFrom;http://purl.org/datanode/ns/differentVocabularyFrom,http://purl.org/datanode/ns/differentCapabilityFrom
http://purl.org/datanode/ns/hasExtraction,has extraction,,Y,4,http://purl.org/datanode/ns/hasInterpretation,http://purl.org/datanode/ns/hasDerivation
http://purl.org/datanode/ns/hasInference,has inference,,Y,4,http://purl.org/datanode/ns/hasInterpretation,http://purl.org/datanode/ns/hasDerivation
http://purl.org/datanode/ns/hasExample,has example,,Y,9,http://purl.org/datanode/ns/hasSelection,http://purl.org/datanode/ns/hasDerivation;http://purl.org/datanode/ns/overlappingCapabilityWith;http://purl.org/datanode/ns/sharesInterpretationWith
http://purl.org/datanode/ns/hasAnonymized,has anonymized substitute,,Y,6,http://purl.org/datanode/ns/hasStandIn;http://purl.org/datanode/ns/processedInto,http://purl.org/datanode/ns/hasDerivation;http://purl.org/datanode/ns/overlappingCapabilityWith
http://purl.org/datanode/ns/hasCache,has cache,,Y,17,http://purl.org/datanode/ns/hasSnapshot;http://purl.org/datanode/ns/hasStandIn,http://purl.org/datanode/ns/hasDerivation;http://purl.org/datanode/ns/overlappingCapabilityWith;http://purl.org/datanode/ns/sharesInterpretationWith
http://purl.org/datanode/ns/isSummarizationOf,is summarization of,,Y,3,http://purl.org/datanode/ns/isDerivationOf,http://purl.org/datanode/ns/isDerivationOf
http://purl.org/datanode/ns/hasStatistic,has statistic,Computed metadata.,Y,7,http://purl.org/datanode/ns/describedBy;http://purl.org/datanode/ns/hasComputation,http://purl.org/datanode/ns/metadata;http://purl.org/datanode/ns/hasDerivation
